	clustering_label_bert	is_movie	title
0	60	1	Toy Story (1995)
1	288	1	Jumanji (1995)
2	738	1	Waiting to Exhale (1995)
3	223	1	Father of the Bride Part II (1995)
4	163	1	Heat (1995)
5	313	1	Sabrina (1995)
6	818	1	Sudden Death (1995)
7	898	1	GoldenEye (1995)
8	46	1	American President, The (1995)
9	957	1	Dracula: Dead and Loving It (1995)
10	979	1	Balto (1995)
11	667	1	Nixon (1995)
12	283	1	Cutthroat Island (1995)
13	564	1	Casino (1995)
14	746	1	Sense and Sensibility (1995)
15	422	1	Four Rooms (1995)
16	986	1	Ace Ventura: When Nature Calls (1995)
17	592	1	Money Train (1995)
18	63	1	Get Shorty (1995)
19	554	1	Copycat (1995)
20	169	1	Assassins (1995)
21	36	1	Powder (1995)
22	159	1	Leaving Las Vegas (1995)
23	333	1	Now and Then (1995)
24	69	1	Persuasion (1995)
25	36	1	City of Lost Children, The (Cité des enfants perdus, La) (1995)
26	115	1	Dangerous Minds (1995)
27	931	1	Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
28	288	1	Babe (1995)
29	939	1	Dead Man Walking (1995)
30	782	1	Across the Sea of Time (1995)
31	7	1	It Takes Two (1995)
32	67	1	Clueless (1995)
33	727	1	Richard III (1995)
34	35	1	Dead Presidents (1995)
35	553	1	Restoration (1995)
36	481	1	Mortal Kombat (1995)
37	688	1	How to Make an American Quilt (1995)
38	672	1	Seven (a.k.a. Se7en) (1995)
39	904	1	Pocahontas (1995)
40	53	1	When Night Is Falling (1995)
41	91	1	Usual Suspects, The (1995)
42	912	1	Mighty Aphrodite (1995)
43	114	1	Georgia (1995)
44	645	1	Confessional, The (Confessionnal, Le) (1995)
45	288	1	Indian in the Cupboard, The (1995)
46	0	1	Mr. Holland's Opus (1995)
47	988	1	Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
48	147	1	Bio-Dome (1996)
49	419	1	French Twist (Gazon maudit) (1995)
50	463	1	Friday (1995)
51	872	1	From Dusk Till Dawn (1996)
52	455	1	Fair Game (1995)
53	949	1	Misérables, Les (1995)
54	628	1	Big Bully (1996)
55	408	1	Screamers (1995)
56	147	1	Things to Do in Denver When You're Dead (1995)
57	413	1	Last Summer in the Hamptons (1995)
58	913	1	Dunston Checks In (1996)
59	221	1	Black Sheep (1996)
60	50	1	Nick of Time (1995)
61	464	1	The Journey of August King (1995)
62	331	1	Vampire in Brooklyn (1995)
63	607	1	Beautiful Girls (1996)
64	737	1	Broken Arrow (1996)
65	900	1	Hate (Haine, La) (1995)
66	13	1	Shopping (1994)
67	33	1	Bottle Rocket (1996)
68	785	1	Happy Gilmore (1996)
69	946	1	Bridges of Madison County, The (1995)
70	417	1	Muppet Treasure Island (1996)
71	240	1	Braveheart (1995)
72	919	1	Taxi Driver (1976)
73	5	1	Rumble in the Bronx (Hont faan kui) (1995)
74	91	1	Before and After (1996)
75	94	1	If Lucy Fell (1996)
76	936	1	Boys of St. Vincent, The (1992)
77	468	1	Boomerang (1992)
78	19	1	Chungking Express (Chung Hing sam lam) (1994)
79	787	1	Flirting With Disaster (1996)
80	404	1	NeverEnding Story III, The (1994)
81	188	1	Jade (1995)
82	979	1	Nueba Yol (1995)
83	290	1	Down Periscope (1996)
84	348	1	Man of the Year (1995)
85	743	1	Neon Bible, The (1995)
86	155	1	Up Close and Personal (1996)
87	435	1	Birdcage, The (1996)
88	352	1	Bad Boys (1995)
89	90	1	Amateur (1994)
90	640	1	Apollo 13 (1995)
91	127	1	Rob Roy (1995)
92	331	1	Addiction, The (1995)
93	855	1	Batman Forever (1995)
94	346	1	Beauty of the Day (Belle de jour) (1967)
95	797	1	Blue in the Face (1995)
96	145	1	Canadian Bacon (1995)
97	285	1	Casper (1995)
98	88	1	Clockers (1995)
99	333	1	Congo (1995)
100	263	1	Crimson Tide (1995)
101	208	1	Crumb (1994)
102	336	1	Desperado (1995)
103	367	1	Die Hard: With a Vengeance (1995)
104	392	1	Doom Generation, The (1995)
105	603	1	First Knight (1995)
106	116	1	Hackers (1995)
107	109	1	Jeffrey (1995)
108	116	1	Johnny Mnemonic (1995)
109	208	1	Judge Dredd (1995)
110	229	1	Kids (1995)
111	127	1	Mad Love (1995)
112	132	1	Mallrats (1995)
113	72	1	Mighty Morphin Power Rangers: The Movie (1995)
114	38	1	Mute Witness (1994)
115	116	1	Net, The (1995)
116	349	1	Nine Months (1995)
117	402	1	Party Girl (1995)
118	460	1	Prophecy, The (1995)
119	88	1	Scarlet Letter, The (1995)
120	485	1	Showgirls (1995)
121	457	1	Smoke (1995)
122	302	1	Something to Talk About (1995)
123	369	1	Species (1995)
124	550	1	Strange Days (1995)
125	106	1	Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)
126	770	1	Three Wishes (1995)
127	924	1	To Wong Foo, Thanks for Everything! Julie Newmar (1995)
128	818	1	Under Siege 2: Dark Territory (1995)
129	582	1	Unstrung Heroes (1995)
130	148	1	Unzipped (1995)
131	64	1	Walk in the Clouds, A (1995)
132	144	1	Waterworld (1995)
133	723	1	White Man's Burden (1995)
134	197	1	Browning Version, The (1994)
135	14	1	Bushwhacked (1995)
136	483	1	Burnt by the Sun (Utomlyonnye solntsem) (1994)
137	418	1	Before the Rain (Pred dozhdot) (1994)
138	526	1	Before Sunrise (1995)
139	785	1	Billy Madison (1995)
140	759	1	Boys on the Side (1995)
141	36	1	Cure, The (1995)
142	100	1	Castle Freak (1995)
143	379	1	Circle of Friends (1995)
144	50	1	Clerks (1994)
145	468	1	Don Juan DeMarco (1995)
146	289	1	Disclosure (1994)
147	758	1	Death and the Maiden (1994)
